sim_id,N,M,k,theta1,pa,theta2,pb
496,5000,15000,14,0.2,0.99,0.1,0.01
497,5000,15000,14,0.2,0.99,0.1,0.05
498,5000,15000,14,0.2,0.99,0.1,0.1
499,5000,15000,14,0.2,0.99,0.1,0.15
500,5000,15000,14,0.2,0.99,0.1,0.2
501,5000,15000,14,0.25,0.8,0.01,0.01
502,5000,15000,14,0.25,0.8,0.01,0.05
503,5000,15000,14,0.25,0.8,0.01,0.1
504,5000,15000,14,0.25,0.8,0.01,0.15
505,5000,15000,14,0.25,0.8,0.01,0.2
506,5000,15000,14,0.25,0.8,0.025,0.01
507,5000,15000,14,0.25,0.8,0.025,0.05
508,5000,15000,14,0.25,0.8,0.025,0.1
509,5000,15000,14,0.25,0.8,0.025,0.15
510,5000,15000,14,0.25,0.8,0.025,0.2
511,5000,15000,14,0.25,0.8,0.05,0.01
512,5000,15000,14,0.25,0.8,0.05,0.05
513,5000,15000,14,0.25,0.8,0.05,0.1
514,5000,15000,14,0.25,0.8,0.05,0.15
515,5000,15000,14,0.25,0.8,0.05,0.2
516,5000,15000,14,0.25,0.8,0.075,0.01
517,5000,15000,14,0.25,0.8,0.075,0.05
518,5000,15000,14,0.25,0.8,0.075,0.1
519,5000,15000,14,0.25,0.8,0.075,0.15
520,5000,15000,14,0.25,0.8,0.075,0.2
521,5000,15000,14,0.25,0.8,0.1,0.01
522,5000,15000,14,0.25,0.8,0.1,0.05
523,5000,15000,14,0.25,0.8,0.1,0.1
524,5000,15000,14,0.25,0.8,0.1,0.15
525,5000,15000,14,0.25,0.8,0.1,0.2
526,5000,15000,14,0.25,0.85,0.01,0.01
527,5000,15000,14,0.25,0.85,0.01,0.05
528,5000,15000,14,0.25,0.85,0.01,0.1
529,5000,15000,14,0.25,0.85,0.01,0.15
530,5000,15000,14,0.25,0.85,0.01,0.2
531,5000,15000,14,0.25,0.85,0.025,0.01
532,5000,15000,14,0.25,0.85,0.025,0.05
533,5000,15000,14,0.25,0.85,0.025,0.1
